ID;Data;Mês;Trimestre;Ano;Plano;Duração;Renovação Automática;Valor (R$);Desconto (%);Valor Final (R$);País;Região;Gênero;Faixa Etária
126;02/12/2024;Dezembro;T4;2024;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;10;134,91;Argentina;América do Sul;Masculino;25-34
127;28/06/2023;Junho;T2;2023;Xbox Game Pass PC;Mensal;Sim;39,9;0;39,9;Chile;América do Sul;Feminino;55+
128;22/10/2023;Outubro;T4;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;15;46,66;Chile;América do Sul;Feminino;25-34
129;19/03/2023;Março;T1;2023;Xbox Game Pass Ultimate;Mensal;Não;54,9;0;54,9;Brasil;América do Sul;Masculino;25-34
130;06/06/2024;Junho;T2;2024;Xbox Game Pass PC;Trimestral;Não;109,9;10;98,91;Argentina;América do Sul;Feminino;18-24
131;03/11/2023;Novembro;T4;2023;Xbox Game Pass Core;Trimestral;Sim;79,9;5;75,91;Brasil;América do Sul;Masculino;25-34
132;04/07/2024;Julho;T3;2024;Xbox Game Pass Core;Trimestral;Sim;79,9;15;67,92;Brasil;América do Sul;Masculino;55+
133;07/01/2023;Janeiro;T1;2023;Xbox Game Pass PC;Mensal;Sim;39,9;0;39,9;Brasil;América do Sul;Masculino;25-34
134;05/03/2024;Março;T1;2024;Xbox Game Pass PC;Trimestral;Sim;109,9;20;87,92;México;América do Norte;Masculino;25-34
135;01/07/2023;Julho;T3;2023;Xbox Game Pass PC;Mensal;Sim;39,9;5;37,9;Argentina;América do Sul;Feminino;25-34
136;01/07/2023;Julho;T3;2023;Xbox Game Pass Ultimate;Mensal;Não;54,9;5;52,15;Chile;América do Sul;Feminino;18-24
137;14/04/2023;Abril;T2;2023;Xbox Game Pass PC;Trimestral;Sim;109,9;0;109,9;México;América do Norte;Masculino;35-44
138;21/09/2023;Setembro;T3;2023;Xbox Game Pass Core;Trimestral;Não;79,9;0;79,9;Brasil;América do Sul;Não Informado;35-44
139;04/04/2023;Abril;T2;2023;Xbox Game Pass Core;Mensal;Sim;29,9;20;23,92;Chile;América do Sul;Masculino;55+
140;25/08/2024;Agosto;T3;2024;Xbox Game Pass PC;Trimestral;Sim;109,9;10;98,91;México;América do Norte;Não Informado;25-34
141;15/03/2024;Março;T1;2024;Xbox Game Pass Core;Mensal;Sim;29,9;0;29,9;Argentina;América do Sul;Masculino;18-24
142;02/08/2024;Agosto;T3;2024;Xbox Game Pass Core;Anual;Sim;269,9;20;215,92;Peru;América do Sul;Masculino;25-34
143;19/08/2024;Agosto;T3;2024;Xbox Game Pass PC;Anual;Não;359,9;5;341,9;Colômbia;América do Sul;Feminino;18-24
144;05/09/2024;Setembro;T3;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;20;43,92;Brasil;América do Sul;Feminino;25-34
145;08/01/2023;Janeiro;T1;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;10;449,91;Brasil;América do Sul;Masculino;25-34
146;22/06/2024;Junho;T2;2024;Xbox Game Pass PC;Anual;Sim;359,9;0;359,9;Brasil;América do Sul;Feminino;25-34
147;28/12/2024;Dezembro;T4;2024;Xbox Game Pass Ultimate;Anual;Não;499,9;0;499,9;Brasil;América do Sul;Feminino;45-54
148;23/11/2024;Novembro;T4;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;0;54,9;Brasil;América do Sul;Masculino;35-44
149;23/11/2023;Novembro;T4;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;10;134,91;Brasil;América do Sul;Feminino;25-34
150;10/06/2023;Junho;T2;2023;Xbox Game Pass Core;Mensal;Não;29,9;5;28,4;Brasil;América do Sul;Não Informado;18-24
151;17/02/2024;Fevereiro;T1;2024;Xbox Game Pass Ultimate;Anual;Não;499,9;0;499,9;México;América do Norte;Feminino;35-44
152;06/03/2024;Março;T1;2024;Xbox Game Pass Core;Trimestral;Sim;79,9;0;79,9;México;América do Norte;Masculino;25-34
153;20/08/2023;Agosto;T3;2023;Xbox Game Pass Core;Trimestral;Sim;79,9;10;71,91;Brasil;América do Sul;Não Informado;35-44
154;22/06/2023;Junho;T2;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;0;499,9;Chile;América do Sul;Masculino;25-34
155;26/04/2023;Abril;T2;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;5;474,9;Colômbia;América do Sul;Feminino;18-24
156;03/05/2023;Maio;T2;2023;Xbox Game Pass Ultimate;Mensal;Não;54,9;0;54,9;Chile;América do Sul;Masculino;45-54
157;01/06/2024;Junho;T2;2024;Xbox Game Pass PC;Mensal;Sim;39,9;5;37,9;Peru;América do Sul;Masculino;18-24
158;21/12/2023;Dezembro;T4;2023;Xbox Game Pass PC;Mensal;Sim;39,9;20;31,92;Argentina;América do Sul;Feminino;35-44
159;20/08/2024;Agosto;T3;2024;Xbox Game Pass Core;Mensal;Sim;29,9;20;23,92;Brasil;América do Sul;Feminino;35-44
160;25/02/2024;Fevereiro;T1;2024;Xbox Game Pass Core;Mensal;Sim;29,9;5;28,4;México;América do Norte;Feminino;18-24
161;18/10/2024;Outubro;T4;2024;Xbox Game Pass Core;Trimestral;Sim;79,9;0;79,9;Brasil;América do Sul;Masculino;25-34
162;22/03/2024;Março;T1;2024;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;10;134,91;Argentina;América do Sul;Feminino;25-34
163;28/07/2023;Julho;T3;2023;Xbox Game Pass PC;Trimestral;Não;109,9;0;109,9;México;América do Norte;Masculino;18-24
164;22/12/2023;Dezembro;T4;2023;Xbox Game Pass Ultimate;Anual;Não;499,9;0;499,9;Brasil;América do Sul;Masculino;25-34
165;15/11/2023;Novembro;T4;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Brasil;América do Sul;Feminino;25-34
166;02/04/2024;Abril;T2;2024;Xbox Game Pass Ultimate;Anual;Sim;499,9;0;499,9;Argentina;América do Sul;Não Informado;25-34
167;25/01/2024;Janeiro;T1;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;0;54,9;Colômbia;América do Sul;Masculino;18-24
168;13/07/2024;Julho;T3;2024;Xbox Game Pass Ultimate;Anual;Sim;499,9;0;499,9;Argentina;América do Sul;Masculino;45-54
169;24/02/2024;Fevereiro;T1;2024;Xbox Game Pass PC;Mensal;Não;39,9;0;39,9;Argentina;América do Sul;Masculino;18-24
170;15/05/2024;Maio;T2;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Brasil;América do Sul;Feminino;45-54
171;21/05/2024;Maio;T2;2024;Xbox Game Pass Ultimate;Anual;Sim;499,9;15;424,91;Brasil;América do Sul;Masculino;35-44
172;05/01/2023;Janeiro;T1;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;0;149,9;Brasil;América do Sul;Feminino;25-34
173;02/10/2024;Outubro;T4;2024;Xbox Game Pass Ultimate;Trimestral;Não;149,9;0;149,9;Brasil;América do Sul;Masculino;18-24
174;11/07/2024;Julho;T3;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;15;46,66;Brasil;América do Sul;Masculino;45-54
175;25/05/2023;Maio;T2;2023;Xbox Game Pass Core;Mensal;Não;29,9;0;29,9;México;América do Norte;Não Informado;18-24
176;15/02/2023;Fevereiro;T1;2023;Xbox Game Pass Core;Trimestral;Não;79,9;20;63,92;México;América do Norte;Feminino;25-34
177;03/12/2024;Dezembro;T4;2024;Xbox Game Pass PC;Mensal;Sim;39,9;0;39,9;México;América do Norte;Feminino;35-44
178;08/09/2024;Setembro;T3;2024;Xbox Game Pass Core;Mensal;Sim;29,9;20;23,92;Argentina;América do Sul;Masculino;25-34
179;05/09/2024;Setembro;T3;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;15;46,66;México;América do Norte;Masculino;35-44
180;11/03/2023;Março;T1;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Brasil;América do Sul;Feminino;25-34
181;14/03/2023;Março;T1;2023;Xbox Game Pass PC;Anual;Não;359,9;10;323,91;Brasil;América do Sul;Masculino;25-34
182;17/06/2023;Junho;T2;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;15;424,91;Peru;América do Sul;Masculino;35-44
183;21/09/2023;Setembro;T3;2023;Xbox Game Pass Core;Anual;Sim;269,9;15;229,41;México;América do Norte;Feminino;25-34
184;03/01/2023;Janeiro;T1;2023;Xbox Game Pass Core;Trimestral;Sim;79,9;15;67,92;Brasil;América do Sul;Feminino;35-44
185;21/08/2023;Agosto;T3;2023;Xbox Game Pass PC;Trimestral;Sim;109,9;0;109,9;Chile;América do Sul;Feminino;25-34
186;02/12/2023;Dezembro;T4;2023;Xbox Game Pass Core;Mensal;Sim;29,9;0;29,9;México;América do Norte;Masculino;35-44
187;05/07/2024;Julho;T3;2024;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;0;149,9;Argentina;América do Sul;Masculino;18-24
188;10/01/2023;Janeiro;T1;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;20;399,92;Colômbia;América do Sul;Feminino;45-54
189;25/04/2024;Abril;T2;2024;Xbox Game Pass Core;Anual;Sim;269,9;0;269,9;Argentina;América do Sul;Masculino;25-34
190;07/04/2024;Abril;T2;2024;Xbox Game Pass PC;Mensal;Sim;39,9;10;35,91;Colômbia;América do Sul;Feminino;25-34
191;14/02/2023;Fevereiro;T1;2023;Xbox Game Pass Core;Mensal;Sim;29,9;5;28,4;Brasil;América do Sul;Masculino;25-34
192;18/06/2023;Junho;T2;2023;Xbox Game Pass Core;Mensal;Sim;29,9;10;26,91;Brasil;América do Sul;Não Informado;35-44
193;04/03/2023;Março;T1;2023;Xbox Game Pass PC;Anual;Sim;359,9;0;359,9;Chile;América do Sul;Masculino;25-34
194;02/01/2023;Janeiro;T1;2023;Xbox Game Pass Core;Mensal;Sim;29,9;5;28,4;Brasil;América do Sul;Feminino;18-24
